quote,author
"A person who is nice to you, but rude to the waiter, is not a nice person.",Dave Barry
It does not matter how slowly you go as long as you do not stop.,Confucius
"Try not. Do, or do not. There is no try.",Yoda
Our dreams feel real while we're in them. It's only when we wake we realize things were strange,"Cobb, Inception"
"The gateway skill to good time management is when you ask not just what you need to do, but how long it will take.",Julie Morgenstern
"Life is not a problem to be solved, but a reality to be experienced.",Soren Kierkegaard
Every moment is a fresh beginning.,T.S. Eliot
"Waking up this morning, I smile. 24 brand new hours are before me. I vow to live fully in each moment.",Thich Nhat Hanh
"Sell a man a fish, he eats for a day. Teach a man how to fish, you ruin a wonderful business opportunity.",Karl Marx
You must be the change you wish to see in the world.,Gandhi
A year from now you may wish you had started today.,Karen Lamb
"If you don’t build your dreams, someone will hire you to build theirs.",Tony Gaskins
"You must be the person you have never had the courage to be. Gradually, you will discover that you are that person, but until you can see this clearly, you must pretend and invent.",Paulo Coelho
The road to Easy Street goes through the sewer.,John Madden
"The harder I work, the luckier I get.",Gary Player
Just keep going. Everybody gets better if they keep at it.,Ted Williams
"'What day is it?' asked Pooh. 'It’s today,' squeaked Piglet. 'My favorite day,' said Pooh.",A.A. Milne
"The competitor to be feared is one who never bothers about you at all, but goes on making his own business better all the time.",Henry Ford
"People love to buy, they don't like to be sold.",Matthew Pollard
"Few ""great"" ideas come from an individual; instead, they’re gradually expanded on and improved by a team or network of individuals.",Jayson DeMers
It takes courage to grow up and become who you really are.,E.E. Cummings
Keep your face to the sunshine and you can never see the shadow.,Helen Keller
Look at everything always as though you were seeing it either for the first or last time: Thus is your time on earth filled with glory.,Betty Smith
Don’t downgrade your dream just to fit your reality.,Stuart Scott
"The trick is to enjoy life. Don't wish away your days, waiting for better ones ahead.",Marjorie Pay Hinckley
Action is the foundational key to all success.,Pablo Picasso
There is only one success: to be able to spend your life in your own way.,Christopher Morley
"Life is beautiful, as long as it consumes you.",Socrates
Make each day your masterpiece.,John Wooden
Never let your memories be greater than your dreams.,Doug Ivester
Write it on your heart that every day is the best day in the year.,Ralph Waldo Emerson
The best way to predict the future is to invent it.,Alan Kay
"The best time to plant a tree was twenty years ago, the second-best time is right now.",Chinese Proverb
"I think laziness is a cardinal sin -- not in the sense that you should always keep busy, but in the sense that if you have the potential to create something that can be useful to others, then you should do everything you can to make it happen.",François Chollet
Do what you love and the money will follow.,Marsha Sinetar
Champions keep playing until they get it right.,Billie Jean King
The best way out is always through.,Robert Frost
"Every morning, I imagine creating a new business that needs to be sold by the end of the day. I better hustle today!","Manuel Amuantegui, Finding Motivation in Unusual Places"
The highest profits are made in trades that show a profit right from the start.,Jesse Livermore
"Fact is, no one cares about your marketing goals. But everyone likes a good story.",Shane Snow
"It is much more difficult to judge oneself than to judge others. If you succeed in judging yourself rightly, then you are indeed a man of true wisdom.",Antoine de Saint-Exupéry
The first principle is that you must not fool yourself and you are the easiest person to fool.,Richard Feynman
The best dreams happen when you’re awake.,Cherie Gilderbloom
Remember that sometimes not getting what you want is a wonderful stroke of luck.,Dalai Lama
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here.,Arthur C. Clarke
"Don’t wish it were easier, wish you were better.",Jim Rohn
"Out yonder there was this huge world, which exists independently of us human beings and which stands before us like a great, eternal riddle, at least partially accessible to our inspection and thinking. The contemplation of this world beckoned like a liberation…",Albert Einstein
"Life is beautiful, so long as it is consuming you. When it is rushing through you, destroying you, life is glorious. It is best to roar away, like a fire with a great draught, white-hot to the last bit.",D.H. Lawrence
I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings.,Mahatma Gandhi
"When we are mindful, deeply in touch with the present moment, our understanding of what is going on deepens, and we begin to be filled with acceptance, joy, peace and love.",Thich Nhat Hanh
Only he who can see the invisible can do the impossible.,Frank L. Gaines
“There’s no way around hard work. Embrace it. You have to put in the hours because there is always something you can improve on”,Roger Federer
The man who has no imagination has no wings.,Muhammad Ali
"“Gold medals aren’t really made of gold. They’re made of sweat, determination, and a hard-to-find alloy called guts.”",Dan Gable
"Today, you have 100% of your life left.",Tom Landry
“You miss 100% of the shots you don’t take. A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.”,Wayne Gretzky
A trophy carries dust. Memories last forever.,Mary Lou Retton
"“People say to me all the time, ‘You have no fear.’ I tell them, ‘No, that’s not true. I’m scared all the time. You have to have fear in order to have courage. I’m a courageous person because I’m a scared person.” ",Ronda Rousey
Age is no barrier. It’s a limitation you put on your mind.,Jackie Joyner-Kersee
"“Champions aren’t made in gyms. Champions are made from something they have deep inside of them; a desire, a dream, a vision.”",Muhammad Ali
The only way to prove that you’re a good sport is to lose.,Ernie Banks
"“Dreams are free. Goals have a cost. While you can daydream for free, goals don’t come without a price. Time, Effort, Sacrifice, and Sweat. How will you pay for your goals?""",Usain Bolt
It is not the size of a man but the size of his heart that matters.,Evander Holyfield
"“I can only control my performance. If I do my best, then I can feel good at the end of the day.”",Michael Phelps
"The more difficult the victory, the greater the happiness in winning.",Pele
“Preparation is everything and focus is the key. It’s easy to say you gave it your all out on the pitch. But the point is if you’d prepared you’d have had more to give and you’ve played better.”,Eric Cantona
One man practicing sportsmanship is far better than 50 preaching it.,Knute Rockne
"“The harder I work, the luckier I get.”",Gary Player
You have to expect things of yourself before you can do them.,Michael Jordan
"“Hard work beats talent when talent fails to work hard.” ",Kevin Durant
Champions keep playing until they get it right.,Billie Jean King
"“I’ve missed more than 9000 shots in my career. I’ve lost almost 300 games. 26 times, I’ve been trusted to take the game-winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed.”",Michael Jordan
"If you have everything under control, you’re not moving fast enough.",Mario Andretti
"“Obstacles don’t have to stop you. If you run into a wall, don’t turn around and give up. Figure out how to climb it, go through it, or work around it.”",Michael Jordan
"You can’t put a limit on anything. The more you dream, the farther you get.",Michael Phelps
"“The minute you get away from fundamentals – whether its proper technique, work ethic or mental preparation – the bottom can fall out of your game, your schoolwork, your job, whatever you’re doing.”",Michael Jordan
"Always make a total effort, even when the odds are against you.",Arnold Palmer
“It’s what you learn after you think you know it all that really counts.”,John Wooden
"If it doesn’t challenge you, it won’t change you.",Fred Devito
“Good teams become great ones when the members trust each other enough to surrender the Me for the We.”,Phil Jackson
"Victory is in having done your best. If you’ve done your best, you’ve won.",Billy Bowerman
"“No judgment of your practice, just practice.”",Gary Olson
The key is not the will to win. Everybody has that. It is the will to prepare to win that is important.,Bobby Knight
"“If you hear a voice within you say ‘you cannot paint,’ then by all means paint, and that voice will be silenced.”",Vincent van Gogh
A champion is afraid of losing. Everyone else is afraid of winning.,Billie Jean King
“Adversity causes some men to break; others to break records.”,William Arthur Ward
If you are afraid of failure you don’t deserve to be successful!,Charles Barkley
"“Successful people have fear, successful people have doubts, and successful people have worries. They just don’t let these feelings stop them.”",T. Harv Eker
"Today I will do what others won’t, so tomorrow I can accomplish what others can’t.",Jerry Rice
“The way to develop self-confidence is to do the thing you fear and get a record of successful experiences behind you.”,William Jennings Bryan
"What do you do with a mistake: recognize it, admit it, learn from it, forget it.",Dean Smith
“You wouldn’t worry so much about what others think of you if you realised how seldom they do.”,Eleanor Roosevelt
You can’t get much done in life if you only work on the days when you feel good.,Jerry West
“Multitasking is seriously overrated. Try to do one task at a time and learn to do it with more purpose. “,Gareth J. Mole
"I’ve got a theory that if you give 100% all of the time, somehow things will work out in the end.",Larry Bird
“A competition is a normal performance on a special day.”,Jonah Oliver
Do not let what you can not do interfere with what you can do.,John Wooden
“Listen to everyone because even an idiot will have a good idea once or twice in their life. Then evaluate and pick out what works for you and commit to it.”,James Kneller
"There may be people that have more talent than you, but there’s no excuse for anyone to work harder than you do.",Derek Jeter
"“We have this thing in our mind of I gotta feel perfect, calm and confident and THEN I’ll perform well. Mate, if that’s the case you’re going to perform well a very, very small portion of the time.”",Peter Clarke
You have to do something in your life that is honorable and not cowardly if you are to live in peace with yourself.,Larry Brown
“I'm not afraid of death; I just don't want to be there when it happens.”,Woody Allen
Some people are in such utter darkness that they will burn you just to see a light. Try not to take it personally.,Kamand Kojouri
“Someone who smiles too much with you can sometime frown too much with you at your back.”,Michael Bassey Johnson
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain
"You only live once, but if you do it right, once is enough.",Mae West
"“Death ends a life, not a relationship.”",Mitch Albom
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost
“A thing is not necessarily true because a man dies for it.”,Oscar Wilde
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde
"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”",Terry Pratchett
It is better to be hated for what you are than to be loved for what you are not.,Andre Gide
“I don't want to die without any scars.”,Chuck Palahniuk
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein
“Unbeing dead isn't being alive.”,E. E. Cummings
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain
"“When people don't express themselves, they die one piece at a time.”",Laurie Halse Anderson
Life is what happens to us while we are making other plans.,Allen Saunders
“Older men declare war. But it is youth that must fight and die.”,Herbert Hoover
Everything you can imagine is real.,Pablo Picasso
"“I could die for you. But I couldn't, and wouldn't, live for you.”",Ayn Rand
Sometimes the questions are complicated and the answers are simple.,Dr. Seuss
“The last enemy that shall be destroyed is death.”," J.K. Rowling"
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw
“It is nothing to die. It is frightful not to live.”,Victor Hugo
I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen
"“Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.”",Mahatma Gandhi
"Sleep, those little slices of death — how I loathe them.",Edgar Allan Poe
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
“Who are you to judge the life I live? I know I'm not perfect -and I don't live to be- but before you start pointing fingers... make sure you hands are clean!”,Bob Marley
"""War is peace. Freedom is slavery. Ignorance is strength.”",George Orwell
"Appear weak when you are strong, and strong when you are weak.",Sun Tzu
“Only the dead have seen the end of war.”,Plato
The supreme art of war is to subdue the enemy without fighting.,Sun Tzu
"“If you win, you need not have to explain...If you lose, you should not be there to explain!”",Adolf Hitler
"Never think that war, no matter how necessary, nor how justified, is not a crime.",Ernest Hemingway
“Imagination is the only weapon in the war against reality.”,Lewis Carroll
Sometimes you have to pick the gun up to put the Gun down.,Malcom X
